ku,er,erh,erm,ere,ereh,ir,irh,irp,irt,irk,irm,irn,irng,irinn
"多元文化欲受人肯定， 語言佇公領域的呈現是真重要的開始。
",0,0,0,0,0,3,,,,,,0,,
"這馬是原住民族語， 向望未來客家語、臺語攏有機會。
",1,0,0,0,0,3,,,,,,0,,
"屏東縣長潘孟安七月十八嘛表示， 第一份Rukai族語公文結合屏東縣推捒的恢復傳統名姓，特別有意義。
",1,1,0,1,0,1,,,,,,0,,
"總統蔡英文嘛佇面冊分享一份對花蓮縣光復鄉公所發出來，用Pangcah寫的， 欲通知族人來領土地權利證明書的公文。
",0,0,0,1,0,4,,,,,,0,,
"你坐佗一隻飛行機？
",2,0,0,0,0,0,,,,,,0,,
"這馬欲開始登機，A八空二班機的旅客，請到第一區排隊登機。
",0,0,0,1,0,1,,,,,,0,,
"坐頭等位的旅客，請到第三區登機。
",1,0,0,1,0,1,,,,,,0,,
"登機了後，行到你的位，共行李囥起去坐位頂面的櫥仔。
",1,0,0,0,0,0,,,,,,0,,
"隨身行李請囥佇坐位下底的椅仔跤。
",1,0,0,1,0,2,,,,,,0,,
"安全帶縖予好，等待起飛。
",1,0,0,0,0,0,,,,,,0,,
"這馬欲起飛a，安全帶縖予好，莫離開家己的位。
",1,0,0,0,0,0,,,,,,0,,
"紲落來欲來紹介飛行機的安全設備，逃生門佇飛行機的兩爿，sàng-sòo罨佇頭殼頂，救生衣佇椅仔跤。
",2,0,0,0,0,6,,,,,,0,,
"若是拄著特殊的狀況，機長會共sàng-sòo拍開，sàng-sòo罨會對面頂落落來，請共sàng-sòo罨掛予好。
",0,0,0,0,0,0,,,,,,0,,
"若是有𤆬囡仔，請先共家己的sàng-sòo掩掛予好，先確定家己吸有sàng-sòo，才替囡仔掛。
",0,0,0,1,0,0,,,,,,0,,
"若飛行機不得已落飛佇海頂，請逐家愛穿救生衣。救生衣佇椅仔跤，先穿入去，才共鈕起來，上尾用喙歕風歕予飽，歕甲膨起來就會使。
",3,0,0,0,0,4,,,,,,0,,
"飛行機飛到十公里懸的時，機長會關掉安全帶指示燈。若有著便所的旅客，到時就會當共安全帶剝開，其他的旅客若無特別需要，就繼續共安全帶縖予好，通保護家己的安全。
",2,0,0,0,0,2,,,,,,0,,
