𪜶兩个生做一模一樣。,In nn̄g ê senn-tsò it-bôo-it-iūnn. ,做
𪜶兩个兄弟仔為著拚生理，就按呢一刀兩斷無來去。,"In nn̄g ê hiann-tī-á uī-tio̍h piànn sing-lí, tō án-ne it-to-lióng-tuān bô lâi-khì. ",去
老母一下死，囡仔就大聲吼。,"Lāu-bú tsi̍t-ē sí, gín-á tō tuā-siann háu. ",死
你一月日趁偌濟錢？,Lí tsi̍t gue̍h-ji̍t thàn guā-tsē tsînn? ,月
買水果的錢，一人愛出一半。,"Bé tsuí-kó ê tsînn, tsi̍t lâng ài tshut tsi̍t-puànn. ",果
頭家人真好，我一半日仔無去，伊嘛袂按怎。,"Thâu-ke lâng tsin hó, guá tsi̍t-puànn-ji̍t-á bô khì, i mā bē án-tsuánn. ",去
物件毋通掖甲一四界。,Mi̍h-kiānn m̄-thang iā kah tsi̍t-sì-kè. ,四界
一旦地動，彼間厝就會倒。,"It-tàn tē-tāng, hit king tshù tō ē tó. ",地
毀於一旦,huí î it-tàn,於
做教授是我一生的願望。,Tsò kàu-siū sī guá it-sing ê guān-bōng. ,做
你毋通放蕩過一生。,Lí m̄-thang hòng-tōng kuè it-sing. ,過
對厝到公司，行路一目𥍉仔就到矣。,"Tuì tshù kàu kong-si, kiânn-lōo tsi̍t-ba̍k-nih-á tō kàu--ah. ",司
伊講過的話，一定會記得。,"I kóng--kuè ê uē, it-tīng ē-kì--tit. ",過
伊一面做工，一面讀冊。,"I tsi̍t-bīn tsò-kang, tsi̍t-bīn tha̍k-tsheh. ",做
毋通逐工鬱佇遐若一垺屎。,M̄-thang ta̍k kang ut tī hia ná tsi̍t-pû-sái. ,佇
一般人攏真愛面子。,It-puann lâng lóng tsin ài bīn-tsú. ,子
這擺欲替伊開刀的醫生攏是一粒一的。,Tsit pái beh thè i khui-to ê i-sing lóng sī it-lia̍p-it--ê. ,替
伊跤手真緊，穡頭一睏仔就做了矣。,"I kha-tshiú tsin kín, sit-thâu tsi̍t-khùn-á tō tsò liáu--ah. ",做
遮的物件伊做一睏仔共伊食了。,Tsia ê mi̍h-kiānn i tsò tsi̍t-khùn-á kā i tsia̍h-liáu. ,做
過一對時，才會行氣。,"Kuè tsi̍t-tuì-sî, tsiah ē kiânn-khì. ",過
伊來一霎仔久就轉去矣。,I lâi tsi̍t-tiap-á-kú tō tńg--khì--ah. ,去
七除八扣,tshit-tû-peh-khàu,除
飯食了才食果子。,Pn̄g tsia̍h-liáu tsiah tsia̍h kué-tsí. ,果子
了解,liáu-kái,解
了錢生理無人做。,Liáu-tsînn sing-lí bô lâng tsò. ,做
洗了無清氣。,Sé liáu bô tshing-khì. ,洗
第二,tē-jī,第
人事,jîn-sū,事
做牛著拖，做人著磨。,"Tsò gû tio̍h thua, tsò-lâng tio̍h buâ. ",做做
入去,ji̍p--khì,去
入被,ji̍p phuē,被
伊昨暝去予人刣幾若刀。,I tsa-mê khì hōo lâng thâi kuí-nā to. ,去
伊欲買一刀紙。,I beh bé tsi̍t to tsuá. ,紙
食又欲食，穡又毋做，真害！,"Tsia̍h iū beh tsia̍h, sit iū m̄ tsò, tsin hāi! ",做
貓仔共鳥鼠掠了了矣。,Niau-á kā niáu-tshí lia̍h-liáu-liáu--ah. ,鼠
這冬割稻仔愛偌濟人工才做會了？,Tsit tang kuah tiū-á ài guā-tsē lâng-kang tsiah tsò ē liáu? ,做
臺灣現此時的人工真貴。,Tâi-uân hiān-tshú-sî ê lâng-kang tsin kuì. ,此
恁囝婿的人才生做袂䆀。,Lín kiánn-sài ê lâng-tsâi senn-tsò bē-bái. ,做
人中長的人較長歲壽。,Jîn-tiong tn̂g ê lâng khah tn̂g-huè-siū. ,歲
較早的人認為飼查某囝了本，無予𪜶讀偌濟冊。,"Khah-tsá ê lâng jīn-uî tshī tsa-bóo-kiánn liáu-pún, bô hōo in tha̍k guā-tsē tsheh. ",飼
人生短短,jîn-sing té-té,短短
算命仙的講𪜶兩人的八字袂合。,Sǹg-miā sian--ê kóng in nn̄g lâng ê peh-jī bē-ha̍h. ,字
你著較拍拚咧，毋通做了尾仔囝。,"Lí tio̍h khah phah-piànn--leh, m̄-thang tsò liáu-bué-á-kiánn. ",做尾
對這件代誌伊閣有二步七仔！,Tuì tsit kiānn tāi-tsì i koh ū--jī-pōo-tshit-á! ,代
人事室,jîn-sū sik,事
盡人事順天意。,Tsīn jîn-sū sūn thinn-ì. ,事
過年時仔攏會做一寡仔人事。,Kuè-nî sî-á lóng ē tsò tsi̍t-kuá-á jîn-sū. ,過做事
學臺語，我拄入門。,"O̍h Tâi-gí, guá tú ji̍p-mn̂g. ",語
臺語入門,Tâi-gí ji̍p-mn̂g,語
大姊昨昏無細膩去予玻璃幼仔割著二指。,Tuā-tsí tsa-hng bô-sè-jī khì hōo po-lê-iù-á kuah-tio̍h jī-tsáinn. ,細去
伊是刁持欲佮我做對的。,I sī tiau-tî beh kah guá tsò-tuì--ê. ,做
做代誌愛重人倫義理。,Tsò tāi-tsì ài tiōng jîn-lûn gī-lí. ,做代
阮這單位的人員無夠，工課才會做袂完。,"Guán tsit tan-uī ê jîn-uân bô kàu, khang-khuè tsiah ē tsò bē uân. ",課做
做人愛重人格。,Tsò-lâng ài tiōng jîn-keh. ,做
兩隊人馬佇街仔路相拄。,Nn̄g tuī jîn-má tī ke-á-lōo sio-tú. ,佇街
做人情予伊。,Tsò-jîn-tsîng hōo--i. ,做
人情世事一大攤。,Jîn-tsîng-sè-sū tsi̍t tuā thuann. ,事
人情世事一大堆。,Jîn-tsîng-sè-sū tsi̍t tuā tui. ,事
想著這款「親生囝，餓死爸」个代誌，實在真了然。,"Siūnn-tio̍h tsit khuán ""tshin-senn kiánn, gō-sí pē"" ê tāi-tsì, si̍t-tsāi tsin liáu-jiân. ",死代
我今年就欲入學去讀冊矣！,Guá kin-nî tō beh ji̍p-o̍h khì tha̍k-tsheh--ah! ,去
伊做啥物生理攏了錢。,I tsò siánn-mih sing-lí lóng liáu-tsînn. ,做
上車,tsiūnn tshia,車
下課,hā-khò,課
魚丸,hî-uân,魚
這件代誌有也好，無也好，攏無要緊。,"Tsit kiānn tāi-tsì ū iā hó, bô iā hó, lóng bô-iàu-kín. ",代
凡事,huân sū,事
仙女下凡,sian-lú hā-huān,女
拍叉做記號。,Phah tshe tsò kì-hō. ,做
土地,thóo-tē,地
伊的性地有影土。,I ê sìng-tē ū-iánn thóo. ,地
土博士,thóo phok-sū,士
博士,phok-sū,士
士農工商,sū lông kang siong,士
阮大兄大我三歲。,Guán tuā-hiann tuā guá sann huè. ,歲
婦女,hū-lí,女
女權,lú khuân,女
銃子,tshìng-tsí,子
果子,kué-tsí,果子
菜子,tshài-tsí,子
烏魚子,oo-hî-tsí,魚子
公子,kong tsú,子
孝子,hàu-tsú,子
孔子公,Khóng-tsú-kong,子
女子,lú-tsú,女子
男子,lâm-tsú,子
子弟,tsú-tē,子
弟子,tē-tsú,子
子丑寅卯,tsú thiú în báu,子
子時,tsú-sî,子
面子,bīn-tsú,子
棋子,kî-jí,子
算盤子,sǹg-puânn-jí,子
一子弓蕉,tsi̍t jí king-tsio,子
小女,siáu lú,女
山地,suann-tē,地
自己,tsū-kí,自
巳時,tsī-sî,巳
面巾,bīn-kin,巾
手巾仔,tshiú-kin-á,巾
干你啥物代誌？,Kan lí siánn-mih tāi-tsì? ,代
弓大豬,king tuā ti,豬
電影看煞才來去食飯。,Tiān-iánn khuànn-suah tsiah lâi-khì tsia̍h pn̄g. ,去
囡仔猶閣細漢，你毋通共拍甲遐爾仔大力。,"Gín-á iáu-koh sè-hàn, lí m̄-thang kā phah kah hiah-nī-á tuā-la̍t. ",細
對臺北坐飛機到高雄上久是一點鐘。,Tuì Tâi-pak tsē hui-ki kàu Ko-hiông siōng-kú sī tsi̍t tiám-tsing. ,坐飛
頂禮拜阮一陣人上山去看風景。,Tíng lé-pài guán tsi̍t tīn lâng tsiūnn-suann khì khuànn hong-kíng. ,去
伊拍一下傷大下，箠仔煞斷去。,"I phah tsi̍t-ē siunn tuā-ē, tshuê-á suah tn̄g--khì. ",箠去
男子漢大丈夫,lâm-tsú-hàn tāi-tiōng-hu,子
這馬下勻的少年人，想法佮阮往過攏無仝。,"Tsit-má ē-ûn ê siàu-liân lâng, siūnn-huat kah guán íng-kuè lóng bô kāng. ",過
你這款土公仔性著愛改啦！,Lí tsit khuán thóo-kong-á-sìng tio̍h-ài kái--lah! ,改
你若欲做衫，愛先量寸尺。,"Lí nā beh tsò sann, ài sing niû tshùn-tshioh. ",做
囡仔人騎車愛小心，毋通騎傷緊。,"Gín-á-lâng khiâ tshia ài sió-sim, m̄-thang khiâ siunn kín. ",車
舊曆的小月干焦二十九工爾爾。,Kū-li̍k ê sió-gue̍h kan-na jī-tsa̍p-káu-kang niā-niā. ,月
這個月是小月，來阮店交關的人客有較少。,"Tsit kò gue̍h sī sió-gue̍h, lâi guán tiàm kau-kuan ê lâng-kheh ū khah tsió. ",月月
伊是做小木的。,I sī tsò sió-ba̍k--ê. ,做
這條手巾仔做了有夠工夫。,Tsit tiâu tshiú-kin-á tsò liáu ū-kàu kang-hu. ,巾做
